20100	100.00
20111	100.00
20112	100.00
20113	100.00
20114	100.00
20115	100.00
20116	100.00
20117	100.00
20118	100.00
20119	100.00
20120	100.00
20121	100.00
20122	100.00
20123	100.00
20124	100.00
20125	100.00
20126	100.00
20201	100.00
20202	100.00
20203	100.00
20204	100.00
20205	100.00
20206	100.00
20207	100.00
20208	100.00
20209	100.00
20210	100.00
20211	100.00
20212	100.00
20213	100.00
20214	100.00
20215	100.00
20216	100.00
20217	100.00
20218	100.00
20219	100.00
20220	100.00
20221	100.00
20222	100.00
20223	100.00
20224	100.00
20225	100.00
20226	100.00
20227	100.00
20228	100.00
20229	100.00
20230	100.00
20231	100.00
20232	100.00
20233	100.00
20234	100.00
20235	100.00
20236	100.00
20237	100.00
20238	100.00
20239	100.00
20240	100.00
20241	100.00
20242	100.00
20243	100.00
20244	100.00
20245	100.00
20246	150.00
20247	150.00
20248	150.00
20249	150.00
20250	100.00
20251	100.00
20252	100.00
20253	100.00
20254	100.00
20255	100.00
20257	100.00
20258	100.00
20259	100.00
20260	100.00
20261	100.00
20262	100.00
20263	100.00
20264	100.00
20265	100.00
20266	100.00
20267	100.00
20268	100.00
20269	100.00
20270	100.00
20271	100.00
20272	100.00
20273	100.00
20274	100.00
20275	100.00
20276	100.00
20277	100.00
20278	100.00
20279	100.00
20280	100.00
20281	100.00
2493	210.00
20030	220.00
20101	220.00
20102	220.00
20103	220.00
20104	220.00
20105	220.00
20106	220.00
20107	220.00
20108	220.00
20109	220.00
30000	140.00
30001	150.00
